make_model,make,location,price,body_type,type,warranty,mileage,gearbox,fuel_type,seller,engine_size,gears,co_emissions,drivetrain,extras,empty_weight,full_service_history,upholstery,previous_owner,energy_efficiency_class,age,power_kW,cons_avg,comfort_&_convenience_Package,entertainment_&_media_Package,safety_&_security_Package
Renault Megane,Renault,"62130 Saint Pol sur Ternoise, FR",23490.0,Station wagon,Used,Yes,3305.0,Manual,Diesel,Dealer,1461.0,6.0,95.0,Front,"Alloy wheels, Roof rack",1287.0,No,Part/Full Leather,2.0,efficient,5.0,82.0,3.7,Standard,Standard,Safety Premium Package
Renault Talisman,Renault,"46 Route De Seurre,  21200 Beaune, FR",16999.0,Station wagon,Used,Yes,74992.0,Manual,Diesel,Dealer,1598.0,6.0,108.0,Front,"Alloy wheels, Emergency tyre, Roof rack, Trailer hitch",1502.0,No,Cloth,2.0,efficient,6.0,98.0,4.6,Standard,Standard,Safety Premium Plus Package
Renault Megane,Renault,"Pol. Ind. Aurrerá, 9,  48510 Trapagaran, ES",13900.0,Station wagon,Used,Yes,97800.0,Manual,Benzine,Dealer,1298.0,6.0,120.0,Front,Alloy wheels,1287.0,No,Part/Full Leather,1.0,efficient,4.0,103.0,5.4,Standard,Standard,Safety Premium Plus Package
Renault Megane,Renault,"48970 BASAURI, ES",6990.0,Station wagon,Used,Yes,230000.0,Manual,Diesel,Dealer,1461.0,6.0,95.0,Front,"Roof rack, Voice Control",1308.0,No,Part/Full Leather,1.0,efficient,8.0,81.0,3.5,Standard,Standard,Safety Premium Plus Package
Renault Megane,Renault,"CTRA. NACIONAL II, KM. 16500,  28830 SAN FERNANDO DE HENARES, ES",13790.0,Station wagon,Used,Yes,81000.0,Manual,Diesel,Dealer,1461.0,6.0,95.0,Front,"Roof rack, Voice Control",1287.0,No,Part/Full Leather,1.0,efficient,4.0,81.0,3.7,Premium,Plus,Safety Premium Package
Renault Talisman,Renault,"59320 Sequendin, FR",17490.0,Station wagon,Used,No,43947.0,Manual,Diesel,Dealer,1461.0,6.0,120.0,Front,"Alloy wheels, Emergency tyre, Roof rack",1502.0,No,Cloth,1.0,efficient,4.0,118.0,4.6,Standard,Standard,Safety Premium Plus Package
Renault Megane,Renault,"Sluiswachter 26,  3861 SN NIJKERK, NL",13500.0,Station wagon,Used,Yes,132337.0,Manual,Diesel,Dealer,1461.0,6.0,90.0,Front,"Roof rack, Spoiler, Voice Control",1287.0,No,Cloth,1.0,efficient,5.0,82.0,3.5,Premium,Plus,Safety Premium Package
Renault Megane,Renault,"Haardt 2,  09247 Chemnitz-Röhrsdorf, DE",20890.0,Station wagon,Used,No,53400.0,Automatic,Benzine,Dealer,1618.0,6.0,0.0,4WD,"Alloy wheels, Roof rack, Shift paddles, Sport seats, Sport suspension, Touch screen, Voice Control",1287.0,Yes,Part/Full Leather,2.0,efficient,4.0,151.0,5.4,Premium,Plus,Safety Premium Package
Renault Megane,Renault,"Via Silvio Pellico, 12,  20821 Meda - Monza Brianza - Mb, IT",16970.0,Station wagon,Used,Yes,49909.0,Automatic,Diesel,Dealer,1461.0,6.0,95.0,Front,"Alloy wheels, Emergency tyre, Touch screen",1287.0,No,Cloth,1.0,efficient,5.0,81.0,3.7,Standard,Standard,Safety Premium Plus Package
Renault Megane,Renault,"Westbaan 110,  2841 MC MOORDRECHT, NL",15790.0,Station wagon,Used,Yes,140840.0,Automatic,Diesel,Dealer,1461.0,6.0,95.0,Front,"Alloy wheels, Automatically dimming interior mirror, Roof rack, Spoiler, Voice Control",1295.0,No,Part/Full Leather,2.0,efficient,4.0,81.0,3.7,Premium,Plus,Safety Premium Package
Renault Talisman,Renault,"Westbaan 110,  2841 MC MOORDRECHT, NL",19490.0,Station wagon,Used,Yes,116329.0,Automatic,Benzine,Dealer,1618.0,6.0,135.0,Front,"Alloy wheels (18""), Automatically dimming interior mirror, Voice Control",1469.0,No,Part/Full Leather,1.0,efficient,5.0,110.0,7.300000000000001,Premium,Plus,Safety Premium Package
Renault Clio,Renault,"Boulevard De L'Est,  50110 Tourlaville, FR",10490.0,Station wagon,Used,Yes,88049.0,Manual,Diesel,Dealer,1461.0,5.0,82.0,Front,"Emergency tyre repair kit, Spare tyre",1063.0,No,Cloth,2.0,efficient,4.0,66.0,3.2,Standard,Standard,Safety Premium Package
Renault Clio,Renault,"Sluiswachter 26,  3861 SN NIJKERK, NL",11950.0,Station wagon,Used,Yes,87969.0,Manual,Benzine,Dealer,898.0,5.0,123.0,Front,"Roof rack, Spoiler, Trailer hitch",1098.0,Yes,Cloth,2.0,efficient,3.0,66.0,5.1,Standard,Standard,Safety Premium Package
Renault Talisman,Renault,"Chroomweg 4,  8445 PN HEERENVEEN, NL",16945.0,Station wagon,Used,No,137540.0,Automatic,Diesel,Dealer,1461.0,6.0,99.0,Front,"Alloy wheels, Automatically dimming interior mirror, Roof rack, Trailer hitch",1427.0,No,Part/Full Leather,1.0,efficient,5.0,81.0,3.8,Standard,Plus,Safety Premium Package
Renault Megane,Renault,"Corso Torino 445 B,  14100 Asti, IT",16970.0,Station wagon,Used,Yes,49909.0,Automatic,Diesel,Dealer,1461.0,6.0,95.0,Front,"Alloy wheels, Emergency tyre, Touch screen",1287.0,No,Cloth,1.0,efficient,5.0,81.0,3.7,Standard,Standard,Safety Premium Plus Package
Renault Clio,Renault,"Sluiswachter 26,  3861 SN NIJKERK, NL",9950.0,Station wagon,Used,Yes,128985.0,Manual,Diesel,Dealer,1461.0,5.0,82.0,Front,"Roof rack, Spoiler, Trailer hitch",1157.0,Yes,Cloth,2.0,unefficient,5.0,66.0,3.2,Standard,Plus,Safety Premium Package
Renault Clio,Renault,"Koraalstraat 4,  1812 RK ALKMAAR, NL",12900.0,Station wagon,Used,Yes,104110.0,Manual,Benzine,Dealer,898.0,5.0,104.0,Front,"Alloy wheels (16""), Roof rack, Spoiler, Trailer hitch",1063.0,Yes,Cloth,2.0,unefficient,5.0,66.0,4.6,Premium,Plus,Safety Premium Package
Renault Clio,Renault,"59470 Wormhout, FR",11990.0,Station wagon,Used,No,107046.0,Manual,Diesel,Dealer,1461.0,5.0,85.0,Front,Roof rack,1063.0,No,Cloth,2.0,efficient,3.0,66.0,3.3,Premium,Standard,Safety Premium Package
Renault Megane,Renault,"Dorpsstraat 2-4,  7025 AD HALLE, NL",11890.0,Station wagon,Used,No,99556.0,Manual,Benzine,Dealer,1198.0,6.0,119.0,Front,"Alloy wheels (16""), Roof rack",1197.0,Yes,Cloth,1.0,efficient,6.0,85.0,5.3,Premium,Standard,Safety Premium Package
Renault Megane,Renault,"Donk 20a,  5995 PM KESSEL, NL",14290.0,Station wagon,Used,No,82511.0,Manual,Benzine,Dealer,1198.0,6.0,124.0,Front,"Roof rack, Voice Control",1290.0,No,Cloth,1.0,efficient,6.0,96.0,5.5,Premium,Standard,Safety Premium Package
Renault Megane,Renault,"Molenland 1,  8024 AL ZWOLLE, NL",16290.0,Station wagon,Used,Yes,117244.0,Manual,Diesel,Dealer,1461.0,6.0,95.0,Front,"Alloy wheels, Automatically dimming interior mirror, Roof rack, Spoiler, Voice Control",1287.0,Yes,Cloth,2.0,efficient,4.0,81.0,3.7,Premium,Plus,Safety Premium Package
Renault Grand Scenic,Renault,"Sur RDV Nous Contacter,  75016 PARIS, FR",23750.0,Station wagon,Used,No,18557.0,Manual,Diesel,Dealer,1600.0,6.0,118.0,Front,Alloy wheels,1430.0,No,Part/Full Leather,2.0,efficient,2.0,96.0,4.5,Premium,Standard,Safety Premium Package
Renault Talisman,Renault,"PAU VILA, 22,  08174 SANT CUGAT DEL VALLES, ES",17000.0,Station wagon,Used,Yes,72153.0,Manual,Diesel,Dealer,1598.0,6.0,120.0,Front,"Alloy wheels, Roof rack",1579.0,No,Part/Full Leather,2.0,efficient,5.0,96.0,4.0,Standard,Standard,Safety Premium Package
Renault Clio,Renault,"Talhoutweg 30,  8171 MB VAASSEN, NL",9900.0,Station wagon,Used,Yes,45600.0,Manual,Diesel,Dealer,1461.0,5.0,82.0,Front,"Alloy wheels (16""), Roof rack",1096.0,No,Cloth,3.0,efficient,7.0,66.0,3.1,Premium,Standard,Safety Premium Package
Renault Megane,Renault,"SS342, 17,  23890 Barzago - Lecco - Lc, IT",16970.0,Station wagon,Used,Yes,49909.0,Automatic,Diesel,Dealer,1461.0,6.0,95.0,Front,"Alloy wheels, Emergency tyre, Touch screen",1287.0,No,Cloth,2.0,efficient,5.0,81.0,3.7,Standard,Standard,Safety Premium Plus Package
Renault Talisman,Renault,"Sur RDV nous contacter,  75016 PARIS, FR",14290.0,Station wagon,Used,No,67400.0,Manual,Diesel,Dealer,1598.0,6.0,120.0,Front,Alloy wheels,1502.0,No,Part/Full Leather,2.0,efficient,4.0,118.0,4.6,Standard,Standard,Safety Premium Package
Renault Talisman,Renault,"Ludersdorf 266,  8200 Ludersdorf, AT",19390.0,Station wagon,Used,No,53791.0,Automatic,Diesel,Dealer,1598.0,6.0,120.0,Front,"Alloy wheels, Automatically dimming interior mirror, Roof rack",1518.0,No,Part/Full Leather,1.0,efficient,6.0,118.0,4.4,Standard,Standard,Safety Premium Package
Renault Clio,Renault,"Via Clerici, 6/12,  20099 Sesto San Giovanni - Milano - Mi, IT",13900.0,Station wagon,Used,Yes,62534.0,Manual,Diesel,Dealer,1461.0,5.0,108.0,Front,Touch screen,1063.0,No,Cloth,2.0,efficient,3.0,55.0,4.1,Standard,Standard,Safety Premium Package
Renault Clio,Renault,"Meir 93,  2890 Sint-Amands, BE",14950.0,Station wagon,Used,Yes,24424.0,Manual,Benzine,Dealer,898.0,5.0,118.0,Front,"Alloy wheels (16""), Touch screen",1063.0,Yes,Cloth,1.0,unefficient,2.0,57.0,5.2,Premium,Plus,Safety Premium Package
Renault Grand Scenic,Renault,"Linzer Straße 179,  4600 Wels, AT",12990.0,Station wagon,Used,No,152705.0,Manual,Diesel,Dealer,1598.0,6.0,116.0,Front,"Alloy wheels, Roof rack",1430.0,No,Part/Full Leather,1.0,efficient,6.0,96.0,4.5,Standard,Standard,Safety Premium Package
Renault Megane,Renault,"Westbaan 110,  2841 MC MOORDRECHT, NL",15990.0,Station wagon,Used,Yes,83715.0,Manual,Benzine,Dealer,1198.0,6.0,119.0,Front,"Alloy wheels, Roof rack, Voice Control",1268.0,No,Cloth,2.0,efficient,5.0,96.0,5.4,Standard,Plus,Safety Premium Package
Renault Talisman,Renault,"Nijverdalseweg 150,  7461 AH RIJSSEN, NL",15950.0,Station wagon,Used,No,106553.0,Manual,Diesel,Dealer,1461.0,6.0,99.0,Front,"Alloy wheels (18""), Automatically dimming interior mirror, Voice Control",1405.0,Yes,Part/Full Leather,2.0,efficient,5.0,82.0,3.8,Premium,Plus,Safety Premium Package
Renault Megane,Renault,"Sluiswachter 26,  3861 SN NIJKERK, NL",15950.0,Station wagon,Used,Yes,130439.0,Manual,Benzine,Dealer,1330.0,6.0,124.0,Front,"Alloy wheels (16""), Roof rack",1262.0,No,Cloth,2.0,unefficient,3.0,85.0,5.4,Premium,Plus,Safety Premium Package
Renault Megane,Renault,"An der Feuerwache 1-3,  09669 Frankenberg, DE",30990.0,Station wagon,Demonstration,No,6000.0,Automatic,Diesel,Dealer,1461.0,6.0,139.0,Front,"Alloy wheels, Roof rack, Shift paddles, Touch screen, Voice Control",1287.0,Yes,Cloth,1.0,efficient,0.0,85.0,4.1,Premium,Plus,Safety Premium Package
Renault Talisman,Renault,"Eichberg-Trautenburg 69,  8463 Leutschach, AT",16990.0,Station wagon,Used,No,41900.0,Manual,Diesel,Dealer,1461.0,6.0,99.0,Front,"Alloy wheels, Ambient lighting, Automatically dimming interior mirror, Roof rack, Summer tyres, Winter tyres",1430.0,Yes,Cloth,1.0,efficient,5.0,81.0,9.1,Standard,Standard,Safety Premium Package
Renault Grand Scenic,Renault,"C/ LA FUNDICION, 99,  28522 RIVAS VACIAMADRID, ES",5400.0,Station wagon,Used,Yes,139978.0,Manual,Benzine,Dealer,2000.0,6.0,145.0,Front,Alloy wheels,1430.0,No,Part/Full Leather,8.0,efficient,16.0,99.0,6.5,Premium,Standard,Safety Premium Package
Renault Talisman,Renault,"16 Route d'Avesnes,  59720 Louvroil, FR",18490.0,Station wagon,Used,No,89509.0,Automatic,Diesel,Dealer,1598.0,6.0,120.0,Front,"Alloy wheels, Roof rack",1502.0,No,Cloth,2.0,efficient,4.0,118.0,4.6,Standard,Standard,Safety Premium Package
Renault Megane,Renault,"Via Emilia Est, 216/A,  43123 Parma - PR, IT",16970.0,Station wagon,Used,Yes,49909.0,Automatic,Diesel,Dealer,1461.0,6.0,95.0,Front,"Alloy wheels, Emergency tyre, Touch screen",1287.0,No,Cloth,1.0,efficient,5.0,81.0,3.7,Standard,Standard,Safety Premium Plus Package
Renault Megane,Renault,"Via 1 Maggio, 9,  40011 Anzola dell’Emilia - Bologna - BO, IT",16970.0,Station wagon,Used,Yes,49909.0,Automatic,Diesel,Dealer,1461.0,6.0,95.0,Front,"Alloy wheels, Emergency tyre, Touch screen",1287.0,No,Cloth,1.0,efficient,5.0,81.0,3.7,Standard,Standard,Safety Premium Plus Package
Renault Grand Scenic,Renault,"C/ LA FUNDICION, 99,  28522 RIVAS VACIAMADRID, ES",20000.0,Station wagon,Used,Yes,106290.0,Manual,Diesel,Dealer,1600.0,6.0,118.0,Front,Alloy wheels,1430.0,No,Part/Full Leather,2.0,efficient,3.0,88.0,4.5,Premium,Standard,Safety Premium Package
Renault Megane,Renault,"Stationsstraat 11,  8152 BH LEMELERVELD, NL",18450.0,Station wagon,Used,No,72035.0,Manual,Benzine,Dealer,1330.0,6.0,125.0,Front,Roof rack,1262.0,Yes,Cloth,1.0,unefficient,3.0,104.0,5.6,Premium,Standard,Safety Premium Package
Renault Kangoo,Renault,"Contactweg 24,  1014 BH AMSTERDAM, NL",2950.0,Station wagon,Used,No,294129.0,Automatic,Benzine,Dealer,1598.0,5.0,190.0,Front,"Spare tyre, Steel wheels, Summer tyres",1095.0,Yes,Cloth,2.0,unefficient,18.0,70.0,8.0,Standard,Standard,Safety Standard Package
Renault Clio,Renault,"`t Vaartland 7,  2821 LH STOLWIJK, NL",9925.0,Station wagon,Used,No,117375.0,Manual,Diesel,Dealer,1461.0,5.0,82.0,Front,Alloy wheels,1096.0,No,Cloth,3.0,efficient,7.0,66.0,3.1,Standard,Standard,Safety Premium Package
Renault Talisman,Renault,"POLIGONO INDUSTRIAL TALLUNTXE II, CALLE B, NUMERO 55-,  31110 NOAIN, ES",17900.0,Station wagon,Used,Yes,79000.0,Manual,Diesel,Dealer,1598.0,6.0,120.0,Front,Alloy wheels,1579.0,No,Cloth,1.0,efficient,5.0,96.0,4.0,Standard,Standard,Safety Premium Package
Renault Clio,Renault,"Sluiswachter 26,  3861 SN NIJKERK, NL",11450.0,Station wagon,Used,Yes,115060.0,Manual,Benzine,Dealer,898.0,5.0,104.0,Front,"Alloy wheels (16""), Roof rack, Spoiler",1063.0,No,Cloth,2.0,unefficient,5.0,66.0,4.6,Premium,Plus,Safety Premium Package
Renault Talisman,Renault,"51100 Reims, FR",31990.0,Station wagon,Used,No,23576.0,Automatic,Diesel,Dealer,1997.0,6.0,120.0,Front,"Alloy wheels, Emergency tyre, Roof rack",1502.0,No,Cloth,1.0,unefficient,2.0,118.0,4.6,Standard,Standard,Safety Premium Package
Renault Clio,Renault,"Sluiswachter 26,  3861 SN NIJKERK, NL",12950.0,Station wagon,Used,Yes,92246.0,Manual,Benzine,Dealer,898.0,5.0,104.0,Front,"Alloy wheels (16""), Roof rack",1063.0,No,Cloth,2.0,efficient,3.0,66.0,4.6,Premium,Plus,Safety Premium Package
Renault Megane,Renault,"AVENIDA DE PARAYAS S/N,  39011 SANTANDER, ES",18490.0,Station wagon,Used,No,29244.0,Manual,Benzine,Dealer,1332.0,6.0,120.0,Front,Alloy wheels,1287.0,No,Cloth,2.0,unefficient,3.0,103.0,5.4,Standard,Standard,Safety Premium Package
Renault Talisman,Renault,"Heilbronner Str. 305 (Zufahrt über Leitzstr. 41-43),  70469 Stuttgart, DE",36890.0,Station wagon,Used,Yes,10062.0,Automatic,Benzine,Dealer,1332.0,7.0,136.0,Front,"Alloy wheels, Ambient lighting, Automatically dimming interior mirror, Emergency tyre, Headlight washer system, Roof rack, Summer tyres, Touch screen, Voice Control, Winter package",1511.0,Yes,Part/Full Leather,1.0,efficient,1.0,117.0,6.0,Premium Plus,Plus,Safety Premium Package
Renault Talisman,Renault,"Nijverdalseweg 150,  7461 AH RIJSSEN, NL",26500.0,Station wagon,Used,Yes,85081.0,Automatic,Benzine,Dealer,1798.0,7.0,169.0,Front,"Alloy wheels (18""), Automatically dimming interior mirror, Roof rack, Voice Control",1500.0,Yes,Part/Full Leather,4.0,unefficient,3.0,165.0,7.4,Premium,Plus,Safety Premium Package
Renault Megane,Renault,"13700 Marignane, FR",12590.0,Station wagon,Used,No,93614.0,Manual,Diesel,Dealer,1461.0,6.0,95.0,Front,Voice Control,1287.0,No,Cloth,4.0,unefficient,3.0,81.0,3.7,Standard,Standard,Safety Premium Package
Renault Megane,Renault,"De Corridor 15,  3621 ZA BREUKELEN, NL",18290.0,Station wagon,Used,Yes,78229.0,Manual,Benzine,Dealer,1198.0,6.0,119.0,Front,"Alloy wheels, Automatically dimming interior mirror, Roof rack, Spoiler, Voice Control",1276.0,No,Cloth,2.0,efficient,5.0,96.0,5.4,Standard,Plus,Safety Premium Package
Renault Megane,Renault,"Westbaan 110,  2841 MC MOORDRECHT, NL",14490.0,Station wagon,Used,Yes,125160.0,Manual,Benzine,Dealer,1330.0,6.0,118.0,Front,"Alloy wheels, Roof rack, Voice Control",1279.0,No,Cloth,2.0,efficient,4.0,85.0,5.4,Premium,Plus,Safety Premium Package
Renault Megane,Renault,"Westbaan 110,  2841 MC MOORDRECHT, NL",15590.0,Station wagon,Used,Yes,103981.0,Manual,Benzine,Dealer,1332.0,6.0,118.0,Front,Roof rack,1279.0,No,Cloth,2.0,efficient,4.0,85.0,5.4,Standard,Standard,Safety Premium Package
Renault Megane,Renault,"Pont de l'Europe,  67000 Strasbourg, FR",16188.0,Station wagon,Used,No,69200.0,Manual,Benzine,Dealer,1197.0,6.0,120.0,Front,Touch screen,1287.0,Yes,Cloth,2.0,efficient,5.0,97.0,5.4,Standard,Plus,Safety Premium Package
Renault Clio,Renault,"Via Enrico mattei 6,  25030 Roncadelle - Brescia - Bs, IT",8590.0,Station wagon,Used,No,131000.0,Manual,Diesel,Dealer,1461.0,6.0,95.0,Front,Steel wheels,1255.0,No,Cloth,1.0,efficient,8.0,66.0,3.7,Standard,Standard,Safety Premium Package
Renault Megane,Renault,"AVDA. LAS JUBIAS. CASABLANCA,  15006 A CORUÑA, ES",23880.0,Station wagon,Used,Yes,22796.0,Automatic,Diesel,Dealer,1749.0,6.0,95.0,Front,"Roof rack, Voice Control",1501.0,No,Cloth,1.0,unefficient,2.0,110.0,4.7,Premium,Plus,Safety Premium Package
Renault Megane,Renault,"Handelstraat 15,  3264 XZ NIEUW BEIJERLAND, NL",16450.0,Station wagon,Used,No,68065.0,Automatic,Benzine,Dealer,1332.0,7.0,117.0,Front,"Alloy wheels (16""), Roof rack, Shift paddles, Spoiler, Voice Control",1294.0,Yes,Cloth,2.0,efficient,4.0,103.0,5.4,Premium,Standard,Safety Premium Package
Renault Megane,Renault,"Via Novara, 342,  20153 Milano - MI, IT",12490.0,Station wagon,Used,Yes,32500.0,Manual,Benzine,Dealer,1198.0,6.0,120.0,Front,"Emergency tyre, Emergency tyre repair kit",1291.0,No,Cloth,1.0,efficient,6.0,74.0,5.4,Standard,Plus,Safety Premium Package
Renault Kangoo,Renault,"62130 Saint Pol sur Ternoise, FR",19990.0,Station wagon,Used,No,500.0,Manual,Diesel,Dealer,1461.0,5.0,129.0,Front,"Alloy wheels, Roof rack",1095.0,No,Cloth,2.0,unefficient,5.0,67.0,5.3,Standard,Standard,Safety Premium Package
Renault Clio,Renault,"Sluiswachter 26,  3861 SN NIJKERK, NL",11950.0,Station wagon,Used,Yes,92923.0,Manual,Benzine,Dealer,898.0,5.0,104.0,Front,"Roof rack, Spoiler, Trailer hitch",1063.0,Yes,Cloth,1.0,efficient,4.0,66.0,4.6,Premium,Plus,Safety Premium Package
Renault Megane,Renault,"Haardt 2,  09247 Chemnitz-Röhrsdorf, DE",31490.0,Station wagon,Demonstration,No,4500.0,Automatic,Diesel,Dealer,1461.0,6.0,104.0,Front,"Alloy wheels, Roof rack, Sport seats, Touch screen, Voice Control",1287.0,Yes,Cloth,1.0,efficient,0.0,85.0,4.0,Premium,Plus,Safety Premium Package
Renault Megane,Renault,"Linzerstraße 83,  4240 Freistadt, AT",6490.0,Station wagon,Used,Yes,135205.0,Manual,Benzine,Dealer,1598.0,6.0,120.0,Front,Alloy wheels,1321.0,No,Cloth,2.0,efficient,11.0,81.0,5.4,Standard,Standard,Safety Premium Package
Renault Megane,Renault,"13700 Marignane, FR",14390.0,Station wagon,Used,No,83366.0,Automatic,Diesel,Dealer,1461.0,6.0,95.0,Front,"Roof rack, Voice Control",1287.0,No,Cloth,1.0,efficient,4.0,81.0,3.7,Standard,Standard,Safety Premium Package
Renault Megane,Renault,"Van der Giessenweg 2,  2921 LP Krimpen aan de IJssel, NL",2945.0,Station wagon,Used,Yes,195777.0,Automatic,Benzine,Dealer,1998.0,6.0,201.0,Front,"Alloy wheels (17""), Automatically dimming interior mirror, Roof rack, Spoiler, Sport seats, Trailer hitch",1280.0,Yes,Cloth,2.0,efficient,17.0,99.0,8.4,Standard,Standard,Safety Premium Package
Renault Clio,Renault,"Chroomweg 4,  8445 PN HEERENVEEN, NL",10945.0,Station wagon,Used,No,96146.0,Manual,Benzine,Dealer,898.0,5.0,104.0,Front,Roof rack,1063.0,Yes,Cloth,1.0,efficient,4.0,66.0,4.6,Standard,Plus,Safety Premium Package
Renault Kangoo,Renault,"Pachfurtherstraße 15,  2465 Höflein, AT",5950.0,Station wagon,Used,No,194000.0,Manual,Diesel,Dealer,1461.0,5.0,139.0,Front,All season tyres,1105.0,No,Cloth,2.0,unefficient,17.0,60.0,5.3,Standard,Plus,Safety Standard Package
Renault Clio,Renault,"Chroomweg 4,  8445 PN HEERENVEEN, NL",10945.0,Station wagon,Used,No,96146.0,Manual,Benzine,Dealer,898.0,5.0,104.0,Front,Roof rack,1063.0,Yes,Cloth,1.0,efficient,4.0,66.0,4.6,Standard,Plus,Safety Premium Package
Renault Megane,Renault,"59223 Roncq, FR",13990.0,Station wagon,Used,No,88010.0,Manual,Benzine,Dealer,1330.0,6.0,120.0,Front,"Roof rack, Voice Control",1287.0,No,Cloth,1.0,efficient,4.0,81.0,5.4,Standard,Standard,Safety Premium Package
Renault Megane,Renault,"via della Pace 123/125,  58100 Grosseto - Gr, IT",14400.0,Station wagon,Used,No,106567.0,Manual,Diesel,Dealer,1461.0,6.0,90.0,Front,"Alloy wheels, Electronic parking brake, Emergency tyre repair kit, Touch screen",1325.0,No,Cloth,1.0,efficient,5.0,81.0,3.7,Standard,Plus,Safety Premium Package
Renault Megane,Renault,"Mülheimer Straße 115,  51469 Bergisch Gladbach, DE",18750.0,Station wagon,Used,Yes,38544.0,Automatic,Benzine,Dealer,1332.0,7.0,125.0,Front,"All season tyres, Alloy wheels (16""), E10-enabled, Electronic parking brake, Emergency tyre repair kit, Roof rack, Touch screen, Voice Control",1390.0,Yes,Cloth,2.0,efficient,3.0,103.0,5.5,Premium,Plus,Safety Premium Package
Renault Megane,Renault,"Molenland 1,  8024 AL ZWOLLE, NL",17190.0,Station wagon,Used,Yes,108194.0,Automatic,Diesel,Dealer,1461.0,6.0,95.0,Front,"Alloy wheels, Automatically dimming interior mirror, Roof rack, Voice Control",1295.0,Yes,Part/Full Leather,1.0,efficient,4.0,81.0,3.7,Premium,Plus,Safety Premium Package
Renault Megane,Renault,"02000 Laon, FR",15989.0,Station wagon,Used,No,87654.0,Manual,Benzine,Dealer,1332.0,6.0,120.0,Front,"Alloy wheels, Roof rack, Voice Control",1287.0,No,Part/Full Leather,2.0,unefficient,3.0,81.0,5.4,Standard,Standard,Safety Premium Package
Renault Kangoo,Renault,"via Dante 37,  25050 Ossimo - Brescia - Bs, IT",12500.0,Station wagon,Used,No,45200.0,Manual,Diesel,Dealer,1461.0,5.0,129.0,Front,"Sliding door, Spare tyre, Steel wheels",1402.0,Yes,Cloth,1.0,unefficient,11.0,66.0,5.3,Standard,Standard,Safety Standard Package
Renault Clio,Renault,"Via Italia, 46,  20874 Busnago - Monza Brianza - Mb, IT",14528.0,Station wagon,Used,Yes,53000.0,Manual,Benzine,Dealer,898.0,5.0,105.0,Front,Alloy wheels,1063.0,No,Cloth,2.0,efficient,3.0,66.0,5.0,Standard,Standard,Safety Premium Plus Package
Renault Talisman,Renault,"62232 Fouquieres les Bethune, FR",19990.0,Station wagon,Used,No,69485.0,Manual,Diesel,Dealer,1749.0,6.0,120.0,Front,"Alloy wheels, Roof rack",1502.0,No,Cloth,2.0,unefficient,3.0,118.0,4.6,Standard,Standard,Safety Premium Plus Package
Renault Megane,Renault,"Touwbaan 2,  2352 CZ LEIDERDORP, NL",16495.0,Station wagon,Used,No,45791.0,Manual,Benzine,Dealer,1197.0,6.0,124.0,Front,"Alloy wheels (17""), Roof rack, Spoiler, Voice Control",1290.0,Yes,Part/Full Leather,1.0,efficient,5.0,97.0,5.5,Premium,Standard,Safety Premium Package
Renault Megane,Renault,"Konijnenberg 22,  4825 BD BREDA, NL",16425.0,Station wagon,Used,No,82840.0,Manual,Benzine,Dealer,1197.0,6.0,120.0,Front,"Roof rack, Trailer hitch",1266.0,No,Part/Full Leather,1.0,efficient,4.0,74.0,5.4,Standard,Plus,Safety Premium Package
Renault Clio,Renault,"De Oude Veiling 113,  1689 AD ZWAAG, NL",4950.0,Station wagon,Used,No,115022.0,Manual,Benzine,Dealer,1149.0,5.0,129.0,Front,"Alloy wheels (16""), Trailer hitch",1095.0,Yes,Cloth,2.0,efficient,12.0,74.0,5.5,Standard,Standard,Safety Standard Package
Renault Megane,Renault,"Lieu dit la maison brulée,  76530 moulineaux, FR",13490.0,Station wagon,Used,No,78693.0,Manual,Diesel,Dealer,1461.0,6.0,95.0,Front,"Roof rack, Voice Control",1312.0,No,Part/Full Leather,1.0,efficient,5.0,81.0,3.7,Premium,Standard,Safety Standard Package
Renault Megane,Renault,"Route des Sorinières,  44400 Rezé, FR",12499.0,Station wagon,Used,No,104086.0,Manual,Diesel,Dealer,1461.0,6.0,95.0,Front,"Emergency tyre, Roof rack, Voice Control",1287.0,No,Cloth,1.0,efficient,5.0,81.0,3.7,Standard,Standard,Safety Premium Package
Renault Megane,Renault,"Steinsdorfer Hauptstr. 2,  96185 Schönbrunn, DE",10990.0,Station wagon,Used,No,65000.0,Manual,Diesel,Dealer,1461.0,6.0,93.0,Front,"Cargo barrier, Emergency tyre repair kit, Roof rack, Steel wheels, Summer tyres",1383.0,Yes,Cloth,1.0,efficient,8.0,81.0,3.5,Standard,Standard,Safety Premium Package
Renault Clio,Renault,"Via 1 Maggio, 9,  40011 Anzola dell’Emilia - Bologna - BO, IT",14528.0,Station wagon,Used,Yes,53000.0,Manual,Benzine,Dealer,898.0,5.0,105.0,Front,Alloy wheels,1063.0,No,Cloth,2.0,efficient,3.0,66.0,5.0,Standard,Standard,Safety Premium Plus Package
Renault Clio,Renault,"Sluiswachter 26,  3861 SN NIJKERK, NL",11750.0,Station wagon,Used,Yes,101737.0,Manual,Benzine,Dealer,898.0,5.0,104.0,Front,"Alloy wheels (16""), Roof rack, Spoiler",1063.0,Yes,Part/Full Leather,2.0,unefficient,5.0,66.0,4.6,Premium,Plus,Safety Premium Package
